"component","deltamz","deltamz_int","EdgeScore","EdgeType","interaction","matched_peaks","name","scan1","scan2","score","selected","shared interaction","shared name"
"990","-14.016","-14","0.7381","Cosine","-","0","37371 (-) 35969","37371","35969","0.7381","false","-","37371 (-) 35969"
"787","-28.031","-28","0.8486","Cosine","-","0","21587 (-) 28636","21587","28636","0.8486","false","-","21587 (-) 28636"
"2038","0.01","0","1.0","Cosine","-","0","12927 (-) 13373","12927","13373","1.0","false","-","12927 (-) 13373"
"1219","-14.016","-14","0.9103","Cosine","-","0","5168 (-) 7712","5168","7712","0.9103","false","-","5168 (-) 7712"
"1219","0.0","0","0.8019","Cosine","-","0","5168 (-) 5481","5168","5481","0.8019","false","-","5168 (-) 5481"
"1219","-0.984","0","0.8075","Cosine","-","0","5168 (-) 4622","5168","4622","0.8075","false","-","5168 (-) 4622"
"1294","-20.006","-20","0.7048","Cosine","-","0","12336 (-) 11566","12336","11566","0.7048","false","-","12336 (-) 11566"
"1","-13.957","-13","0.9249","Cosine","-","0","41646 (-) 41184","41646","41184","0.9249","false","-","41646 (-) 41184"
"1","-59.014","-59","0.7807","Cosine","-","0","41646 (-) 38321","41646","38321","0.7807","false","-","41646 (-) 38321"
"1","-41.987","-41","0.8821","Cosine","-","0","41646 (-) 38267","41646","38267","0.8821","false","-","41646 (-) 38267"
"1","-56.003","-56","0.8381","Cosine","-","0","41646 (-) 35596","41646","35596","0.8381","false","-","41646 (-) 35596"
"1","-30.983","-30","0.804","Cosine","-","0","41646 (-) 41367","41646","41367","0.804","false","-","41646 (-) 41367"
"1","-0.06","0","0.9256","Cosine","-","0","41646 (-) 41801","41646","41801","0.9256","false","-","41646 (-) 41801"
"1","16.967","16","0.8833","Cosine","-","0","41646 (-) 41843","41646","41843","0.8833","false","-","41646 (-) 41843"
"1","-14.075","-14","0.9272","Cosine","-","0","41646 (-) 42315","41646","42315","0.9272","false","-","41646 (-) 42315"
"424","-96.057","-96","0.7776","Cosine","-","0","18403 (-) 11774","18403","11774","0.7776","false","-","18403 (-) 11774"
"424","-182.13","-182","0.7672","Cosine","-","0","18403 (-) 5942","18403","5942","0.7672","false","-","18403 (-) 5942"
"1392","-28.031","-28","0.8012","Cosine","-","0","41354 (-) 40766","41354","40766","0.8012","false","-","41354 (-) 40766"
"32","-20.027","-20","0.7632","Cosine","-","0","42179 (-) 38154","42179","38154","0.7632","false","-","42179 (-) 38154"
"32","18.01","18","0.8286","Cosine","-","0","42179 (-) 42181","42179","42181","0.8286","false","-","42179 (-) 42181"
"124","0.0","0","0.8757","Cosine","-","0","26465 (-) 19713","26465","19713","0.8757","false","-","26465 (-) 19713"
"124","0.0","0","0.9392","Cosine","-","0","26465 (-) 14348","26465","14348","0.9392","false","-","26465 (-) 14348"
"124","-0.0","0","0.9475","Cosine","-","0","26465 (-) 11595","26465","11595","0.9475","false","-","26465 (-) 11595"
